visit_id,cookie_id,page_id,event_type,sequence_number,event_time
ccf365,c4ca42,1,1,1,02/04/2020
ccf365,c4ca42,2,1,2,02/04/2020
ccf365,c4ca42,6,1,3,02/04/2020
ccf365,c4ca42,9,1,4,02/04/2020
ccf365,c4ca42,9,2,5,02/04/2020
ccf365,c4ca42,10,1,6,02/04/2020
ccf365,c4ca42,10,2,7,02/04/2020
ccf365,c4ca42,11,1,8,02/04/2020
ccf365,c4ca42,11,2,9,02/04/2020
ccf365,c4ca42,12,1,10,02/04/2020
ccf365,c4ca42,13,3,11,02/04/2020
d58cbd,c81e72,1,1,1,01/18/2020
d58cbd,c81e72,2,1,2,01/18/2020
d58cbd,c81e72,4,1,3,01/18/2020
d58cbd,c81e72,4,2,4,01/18/2020
d58cbd,c81e72,5,1,5,01/18/2020
d58cbd,c81e72,5,2,6,01/18/2020
d58cbd,c81e72,7,1,7,01/18/2020
d58cbd,c81e72,8,1,8,01/18/2020
d58cbd,c81e72,8,2,9,01/18/2020
d58cbd,c81e72,10,1,10,01/18/2020
d58cbd,c81e72,10,2,11,01/18/2020
d58cbd,c81e72,12,1,12,01/18/2020
9a2f24,eccbc8,1,1,1,02/21/2020
9a2f24,eccbc8,4,1,2,02/21/2020
9a2f24,eccbc8,4,2,3,02/21/2020
9a2f24,eccbc8,7,1,4,02/21/2020
9a2f24,eccbc8,7,2,5,02/21/2020
9a2f24,eccbc8,10,1,6,02/21/2020
9a2f24,eccbc8,11,1,7,02/21/2020
9a2f24,eccbc8,12,1,8,02/21/2020
9a2f24,eccbc8,13,3,9,02/21/2020
7caba5,a87ff6,1,1,1,02/22/2020
7caba5,a87ff6,4,1,2,02/22/2020
7caba5,a87ff6,5,1,3,02/22/2020
7caba5,a87ff6,5,2,4,02/22/2020
7caba5,a87ff6,8,1,5,02/22/2020
7caba5,a87ff6,9,1,6,02/22/2020
7caba5,a87ff6,9,2,7,02/22/2020
f61ed7,e4da3b,1,1,1,02/01/2020
f61ed7,e4da3b,2,1,2,02/01/2020
f61ed7,e4da3b,4,1,3,02/01/2020
f61ed7,e4da3b,8,1,4,02/01/2020
f61ed7,e4da3b,9,1,5,02/01/2020
f61ed7,e4da3b,9,2,6,02/01/2020
f61ed7,e4da3b,10,1,7,02/01/2020
f61ed7,e4da3b,10,2,8,02/01/2020
f61ed7,e4da3b,11,1,9,02/01/2020
f61ed7,e4da3b,12,1,10,02/01/2020
f61ed7,e4da3b,13,3,11,02/01/2020
e0ce49,167909,1,1,1,01/25/2020
e0ce49,167909,2,1,2,01/25/2020
e0ce49,167909,5,1,3,01/25/2020
e0ce49,167909,5,2,4,01/25/2020
e0ce49,167909,6,1,5,01/25/2020
e0ce49,167909,8,1,6,01/25/2020
e0ce49,167909,9,1,7,01/25/2020
e0ce49,167909,9,2,8,01/25/2020
e0ce49,167909,10,1,9,01/25/2020
e0ce49,167909,11,1,10,01/25/2020
e0ce49,167909,11,2,11,01/25/2020
e0ce49,167909,12,1,12,01/25/2020
e0ce49,167909,13,3,13,01/25/2020
8479c1,8f14e4,1,1,1,02/09/2020
8479c1,8f14e4,2,1,2,02/09/2020
8479c1,8f14e4,9,1,3,02/09/2020
8479c1,8f14e4,11,1,4,02/09/2020
8479c1,8f14e4,11,2,5,02/09/2020
8479c1,8f14e4,12,1,6,02/09/2020
8479c1,8f14e4,13,3,7,02/09/2020
a6c424,c9f0f8,1,1,1,02/12/2020
a6c424,c9f0f8,2,1,2,02/12/2020
a6c424,c9f0f8,5,1,3,02/12/2020
a6c424,c9f0f8,5,2,4,02/12/2020
a6c424,c9f0f8,7,1,5,02/12/2020
a6c424,c9f0f8,9,1,6,02/12/2020
a6c424,c9f0f8,10,1,7,02/12/2020
a6c424,c9f0f8,11,1,8,02/12/2020
